,Name,Price,Storage,RAM Memory,Screen size,Screen Resolution,Processor Model,Processor Number,Processor manufacturer,Operating System,Battery Run Time,Optical Drive,Touchscreen,Warranty
172,Refurbished HP 15-bw069sa AMD A9-9420 4GB 1TB 15.6 Inch Windows 10 Laptop in White - A1/2FP07EA,259.97,1000.0,4.0,15.6,1920 x 1080,AMD A4,9120,AMD,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
173,Medion Erazer P7651 Core i5-8250U 8GB 1TB DVD-RW GeForce GTX 1050 17.3 Inch Windows 10 Gaming Laptop - 30023361,679.97,1000.0,8.0,17.3,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10,2.0,DVD-RW,Non Touch,
174,Acer ES Intel Celeron N3350 2GB 32GB SSD 11.6 Inch Windows 10 Laptop - NX.GGLEK.013,119.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,8.0,No optical drive,Non Touch,1 year warranty
175,Refurbished Apple MacBook Pro Core i5 8GB 128GB 13 Inch Laptop in Space Grey - A2/MPXQ2B/A,969.97,128.0,8.0,13.0,2560 x 1600,Intel Core i5,,Intel,MacOS,10.0,No optical drive,Non Touch,3 Month RTB Warranty
176,Refurbished Acer CB3-131 Intel Celeron N2840 2GB 16GB 11.6 Inch Chrome OS Chromebook in Blue - A1/NX.GR3EK.001,119.97,16.0,2.0,11.6,1366 x 768,Intel Celeron,N2840,Intel,Chrome OS,9.0,No optical drive,Non Touch,3 Month RTB Warranty
177,Toshiba Satellite Pro R50-C-179 Core i3-6006U 4GB 128GB SSD DVD-RW 15.6 Inch Windows 10 Laptop - PS571E-0C2085EN,483.97,128.0,4.0,15.6,1366 x 768,Intel Core i3,6006U,Intel,Windows 10,8.0,DVD-RW,Non Touch,1 year warranty
178,Refurbished HP Omen 15-ax009na Core i5-6300HQ 8GB 1TB NVIDIA GeForce GTX 950M Graphics 15.6 Inch Windows 10 Gaming Laptop - A1/X0M60EA,639.97,1000.0,8.0,15.6,1920 x 1080,Intel Core i5,6300HQ,NVIDIA,Windows 10,10.0,No optical drive,Non Touch,
179,Refurbished HP 14-bs045na Intel Pentium N3710 4GB 128GB 14 Inch Windows 10 Laptop - A2/2CQ56EA,209.97,128.0,4.0,14.0,1366 x 768,Intel Pentium,N3710,Intel,Windows 10,12.0,No optical drive,Non Touch,3 Month RTB Warranty
180,Refurbished HP 15-bs162sa Core i5-8250U 4GB 1TB 15.6 Inch Windows 10 Laptop - A1/2PR40EA,379.97,1000.0,4.0,15.6,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10,11.0,No optical drive,Non Touch,3 Month RTB Warranty
181,MSI GE63 Raider 8RF Core i7-8750H 16GB 1TB + 512GB SSD GeForce GTX 1070 15.6 Inch Windows 10 Gaming Laptop  - 9S7-16P512-063,1999.97,512.0,16.0,15.6,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
182,Dell Latitude 3590 Core i5-7200U 8GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop - NKDDW,722.98,256.0,8.0,15.6,1920 x 1080,Intel Core i5,7200u,Intel,Windows 10 Pro,,No optical drive,Non Touch,1 year warranty
183,Refurbished HP Spectre x360 13-ae055na Core i7-8550U 8GB 512GB 13.3 Inch Windows 10 Touchscreen 2 in 1 Laptop - A1/2QH38EA,999.97,512.0,8.0,13.3,3840 x 2160,Intel Core i7,8550U,Intel,Windows 10,10.0,No optical drive,Touchscreen,3 Month RTB Warranty
184,Refurbished Acer CB3-431 Intel Celeron N3160 4GB 32GB 14 Inch Chromebook in Gold - A1/NX.GJEEK.002,219.97,32.0,4.0,14.0,1920 x 1080,Intel Celeron,N3160,Intel,Chrome OS,12.0,No optical drive,Non Touch,3 Month RTB Warranty
185,Linx 10V64 4GB RAM 64GB HDD 10.1 Inch Windows 10 Tablet with Keyboard - LINX10V64/BUN,215.97,,4.0,10.1,,Intel Atom,,Intel,Windows 10,,,,
186,Refurbished Acer CB3-431 Intel Celeron N3060 2GB 32GB 14 Inch Chrome OS Chromebook  - A2/NX.GC2EK.003,159.97,32.0,2.0,14.0,1366 x 768,Intel Celeron,N3060,Intel,Chrome OS,12.0,No optical drive,Non Touch,3 Month RTB Warranty
