,Name,Price,Storage,RAM Memory,Screen size,Screen Resolution,Processor Model,Processor Number,Processor manufacturer,Operating System,Battery Run Time,Optical Drive,Touchscreen,Warranty
815,"Refurbished HP CQ58-D28SA INTEL PENTIUM B960 4GB 500GB Windows 10 15.6"" Laptop - T1/394578",149.97,,,,,,,Intel,,,,,
816,HP EliteBook 1040 G4 Core i7-7500U 2.9GHz 8GB 512GB SSD Full HD 14 Inch Windows 10 Professional Laptop - 1EP92EA,1739.98,512.0,8.0,14.0,1920 x 1080,Intel Core i7,7500U,Intel,Windows 10 Pro,18.0,None,Non Touch,1 year warranty
817,Dell XPS Core i5-7300HQ 8GB 1TB + 32GB SSD GeForce GTX 1050 15.6 Inch Windows 10 Gaming Laptop  - Y4NDD,1412.89,32.0,8.0,15.6,1920 x 1080,Intel Core i5,7300HQ,Intel,Windows 10,19.0,No optical drive,Non Touch,
818,Alienware 17 Core i7-7700HQ 16GB 1TB + 512GB SSD GeForce GTX 1060 6GB Windows 10 Gaming Laptop - 0HKJX,2124.97,512.0,16.0,17.3,2560 x 1440,Intel Core i7,7700HQ,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
819,GRADE A1 - Acer ES1-132-C8WF Intel Celeron N3350 4GB 32GB 11.6 Inch  Windows 10 Laptop - 77448721/1/NX.GGLEK.005,189.97,32.0,4.0,11.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,8.0,No optical drive,Non Touch,3 Month RTB Warranty
820,GRADE A1 - Toshiba Portégé X20W-D-10V Core i7-7500U 8GB 512GB SSD 12.5 Inch Windows 10 Professional Convertible Laptop - 77441079/1/PRT12E-01800KEN,1149.97,512.0,8.0,12.5,1920 x 1080,Intel Core i7,I7-7500U,Intel,Windows 10 Pro,,None,,
821,GRADE A1 - Acer TravelMate P648 Core i5-6200U 8GB 256GB SSD 14 Inch Windows 10 Professional Laptop - 77455049/2/NX.VCKEK.027,679.97,256.0,8.0,14.0,1366 x 768,Intel Core i5,6200U,Intel,Windows 10 Pro,8.0,None,Non Touch,
822,Dell XPS 13-9365 Core i7-7Y75 16GB 256GB SSD 13.3 Inch Windows 10 Touchscreen Laptop  - MHXGX,1642.97,256.0,16.0,13.3,3200 x 1800,Intel Core i7,7Y75,Intel,Windows 10,8.0,No optical drive,Touchscreen,1 year warranty
823,HP EliteBook 1040 G4 Core i7-7500U 2.9GHz 8GB 256GB SSD Full HD 14 Inch Win 10 Professional Laptop - 1EP91EA,1569.97,256.0,8.0,14.0,1920 x 1080,Intel Core i7,7500U,Intel,Windows 10 Pro,18.0,None,Non Touch,1 year warranty
824,Asus VivoBook 14 X442UA Core i5-7200 4GB 500GB DVD-RW 14 Inch Windows 10 Laptop - X442UA-GA061R,509.97,500.0,4.0,14.0,1366 x 768,Intel Core i5,7200u,Intel,Windows 10 Pro,,DVD-RW,Non Touch,1 year warranty
825,Lenovo Miix 520-12IKB Core I7 8550U 16GB 1TB 12.2 Inch Windows 10 Pro Laptop  - 20M3000LUK,1559.98,1000.0,16.0,12.2,1920 x 1200,Intel Core i7,8550U,Intel,Windows 10 Pro,8.0,None,Non Touch,
826,Refurbished Acer Aspire ES1-132-C974 Intel Celeron N3350 4GB 32GB11.6 Inch Windows 10 Laptop in Red - A2/NX.GHKEK.004,149.97,32.0,4.0,11.6,1366 x 768,Intel Celeron,N3350,Intel,Windows 10,8.0,No optical drive,Non Touch,3 Month RTB Warranty
827,Refurbished HP Pavilion Pro 14-bf153sa Core i7-8550U 8GB 256GB 14 Inch GeForce GT 940MX  Windows 10 Laptop - A1/2PS50EA,719.97,256.0,8.0,14.0,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10,10.0,No optical drive,Non Touch,
828,Fujitsu Lifebook U748 Core i5-8250U 8GB 256GB SSD 14 Inch Windows 10 Laptop  - VFY:U7480M35SBGB,1199.98,256.0,8.0,14.0,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,10.0,None,Non Touch,2 year warranty
829,Refurbished Dell Latitude 3330 Core i5 3337U 4GB 500GB 13.3 Inch Windows 10 Laptop - TR/13/125,259.97,500.0,4.0,13.3,,Intel Core i5,3337U,Intel,Windows 10,,None,Non Touch,30 Day RTB Warranty
830,Asus VivoBook 15 X542UA Core i3-7100U 4GB 500GB DVD-RW 15.6 Inch Windows 10 Laptop - X542UA-GQ003R,448.97,500.0,4.0,15.6,1366 x 768,Intel Core i3,7100U,Intel,Windows 10 Pro,,DVD-RW,Non Touch,1 year warranty
831,HP ProBook 440 G5 Core i5-8250U 4GB 500GB 14 Inch Windows 10 Professional Laptop  - 2RS28EA,713.98,500.0,4.0,14.0,1366 x 768,Intel Core i5,8250U,Intel,Windows 10 Pro,,No optical drive,Non Touch,1 year warranty
832,MSI GE72MVR 7RG Core i7-7700HQ 16GB 1TB + 256GB SSD 17.3 Inch GeForce GTX 1070 8GB Windows 10 Gaming Laptop - 9S7-179C11-078,1469.98,256.0,16.0,17.3,1920 x 1080,Intel Core i7,7700HQ,Intel,Windows 10,4.0,No optical drive,Non Touch,
833,MSI WS63 7RL Core i7-7700HQ 16GB 2TB + 256GB SSD Quadro P4000 15.6 Inch Windows 10 Professional Laptop   - 9S7-16K332-203,3034.97,2000.0,16.0,15.6,1920 x 1080,Intel Core i7,7700HQ,Intel,Windows 10 Pro,6.0,No optical drive,Non Touch,1 year warranty
834,MSI WT73VR 7RM E3-1505M 16GB 1TB + 256GB SSD Quadro P5000 17.3 Inch Windows 10 Professional Laptop  - 9S7-17A131-1023,4442.98,256.0,16.0,17.3,1920 x 1080,Xeon,E3-1505M,Intel,Windows 10 Pro,,No optical drive,Non Touch,1 year warranty
835,Refurbished HP Pavilion Power 15-bc350sa Core i7 7500U 8GB 1TB GeForce GTX 950M 15.6 Inch Windows 10 Laptop  - A1/2PK05EA,669.97,1000.0,8.0,15.6,1920 x 1080,Intel Core i5,7500U,Intel,Windows 10,11.0,No optical drive,Non Touch,
836,Refurbished HP Stream 11-y051sa Intel Celeron N3060 2GB 32GB 11.6 Inch  Windows 10 Laptop - A1/Y3W07EA,149.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
837,Fujitsu Lifebook U748 Core i7-8550U 8GB 256GB SSD 14 Inch Windows 10 Laptop  - VFY:U7480M37SBGB,1343.98,256.0,8.0,14.0,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10 Pro,10.0,No optical drive,Non Touch,2 year warranty
838,Fujitsu Lifebook U758 Core i7-8550U 8GB 512GB SSD 15.6 Inch Windows 10 Laptop  - VFY:U7580M37SBGB,1444.97,512.0,8.0,15.6,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10,10.0,No optical drive,Non Touch,2 year warranty
839,Fujitsu Lifebook Core i5-8250U 8GB 256GB SSD 15.6 Inch Full HD Windows 10 Professional Laptop - VFY:E5580M35ROGB,949.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,10.0,No optical drive,Non Touch,1 year warranty
840,Fujitsu Lifebook E458 Core i5-7200U 4GB 500GB 15.6 Inch Windows 10 Laptop  - VFY:E4580M35HOGB,627.97,500.0,4.0,15.6,1366 x 768,Intel Core i5,7200u,Intel,Windows 10 Pro,,No optical drive,Non Touch,1 year warranty
841,HP EliteBook x360 1030 G2 Core i7-7600U 16GB 512GB SSD 13.3 Inch Windows 10 Pro Laptop  - Z2W16EA,2264.98,512.0,16.0,13.3,1920 x 1080,Intel Core i7,7600U,Intel,Windows 10 Pro,16.0,None,Touchscreen,3 year warranty
842,Dell Latitude 5490 Core i5-8250U 4GB 500GB 14 Inch Windows 10 Pro Laptop - KNCCD,724.97,500.0,4.0,14.0,1366 x 768,Intel Core i5,8250U,Intel,Windows 10 Pro,,No optical drive,Non Touch,1 year warranty
843,Dell Latitude Core i5-8250U 8GB 128GB SSD 14 Inch Windows 10 Laptop  - K52M5,824.98,128.0,8.0,14.0,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
844,MSI GT75 Titan 8RG Core i7-8750H 32GB 1TB + 256GB SSD GeForce GTX 1080 17.3 Inch Windows 10 Gaming Laptop  - 9S7-17A311-022,2715.97,256.0,32.0,17.3,1920 x 1080,Intel Core i7,8950HK,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
845,Fujitsu Lifebook E548 Core i5-8250U 8GB 256GB SSD 14 Inch Windows 10 Laptop  - VFY:E5480M35NOGB,949.97,256.0,8.0,14.0,1920 x 1080,Intel Core i5,8250U,Intel,Windows 10 Pro,10.0,No optical drive,Non Touch,1 year warranty
846,Refurbished HP Stream 14-ax053sa Intel Celeron N3060 4GB 32GB 14 Inch Windows 10 Laptop Purple - A1/Z3C75EA,179.97,32.0,4.0,14.0,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
847,Fujitsu Lifebook E548 Core i7-8550U 8GB 256GB SSD 14 Inch Windows 10 Laptop  - VFY:E5480M37LOGB,1089.97,256.0,8.0,14.0,1920 x 1080,Intel Core i7,8550U,Intel,Windows 10 Pro,10.0,No optical drive,Non Touch,1 year warranty
848,HP ZBook Studio G4 Core i7-7820HQ 16GB 512GB SSD 15.6 Inch Windows 10 Professional Laptop  - Y6K16EA,3297.97,512.0,16.0,15.6,3840 x 2160,Intel Core i7,7820HQ,Intel,Windows 10 Pro,,None,Non Touch,3 year warranty
849,MSI GT75 Titan 8RG Core i9-8950HK 32GB 1TB + 512GB SSD GeForce GTX 1080 17.3 Inch Windows 10 Gaming Laptop  - 9S7-17A311-201,3299.97,512.0,16.0,17.3,1920 x 1080,Core i9,8950HK,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
850,Refurbished Acer Aspire Intel Pentium N4200 4GB 128GB 14 Inch Windows 10 Laptop - A1/NX.GNSEK.003,259.97,128.0,4.0,14.0,1366 x 768,Intel Pentium,N4200,Intel,Windows 10,7.0,No optical drive,Non Touch,3 Month RTB Warranty
851,MSI GE73 Raider 8RF Core i7-8750H 8GB 1TB + 512GB SSD GeForce GTX 1070 17.3 Inch Windows 10 Gaming Laptop  - 9S7-17C512-050,1949.97,512.0,8.0,17.3,1920 x 1080,Intel Core i7,8750H,Intel,Windows 10,,No optical drive,Non Touch,2 year warranty
852,"Refurbished Toshiba Satellite Click 10 LX0W-C-104 Intel Atom Z8300 2GB 32GB 10.1 Inch Windows 10 10.1"" Touchscreen 2-in-1 Laptop - Satin Gold  - A1/PDW0GE-00J00KEN",199.97,32.0,2.0,10.1,,Intel Atom,x5-Z8300,Intel,Windows 10,,No optical drive,Touchscreen,3 Month RTB Warranty
853,MSI GT72S 6QF DominatorProGDragon Core i7-6820HK 32GB 1TB + 512GB SSD GeForce GTX 980 17.3 Inch Wind - 9S7-178344-093,2578.97,512.0,32.0,17.3,3840 x 2160,Intel Core i7,6820HK,Intel,Windows 10,4.0,No optical drive,Non Touch,
854,Dell Latitude 7270 Core M5-6Y57 8GB 256GB SSD 13.3 Inch Windows 10 Professional Laptop  - 4JR42,1519.97,256.0,8.0,13.3,1920 x 1080,Core M5,6Y57,Intel,Windows 10 Pro,10.0,No optical drive,Non Touch,3 year warranty
855,HP ZBook 17 G3 Core i7-6700HQ 2.6GHz 8GB 256GB SSD 17.3 Inch Windows 7 Professional Laptop - T7V63ET,2799.97,256.0,8.0,17.3,1920 x 1080,Intel Core i7,6700HQ,Intel,Windows 7 Pro,16.0,No optical drive,Non Touch,3 year warranty
856,Asus C202SA-GJ0025 Intel Celeron N3060 4GB 16GB 11.6 Inch Chrome OS Chromebook Laptop - C202SA-GJ0025-OSS,242.98,16.0,4.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Chrome OS,10.0,None,Non Touch,3 year warranty
857,HP EliteBook 820 G3 Core i5-6200U 8GB 256GB SSD 12.5 Inch Windows 7 Professional Laptop - T9X42EA,1268.98,256.0,8.0,12.5,1920 x 1080,Intel Core i5,6200U,Intel,Windows 10,,No optical drive,Non Touch,3 year warranty
858,MSI Titan SLI 4K GT73VR 6RE-064UK Core i7-6820HK 32GB 1TB + 512GB Dual GeForce GTX 1070 SLI 17.3 Inch Windows 10 Gaming Laptop - 9S7-17A111-064,3158.97,512.0,32.0,17.3,3840 x 2160,Intel Core i7,6820HK,Intel,Windows 10,4.0,No optical drive,Non Touch,
859,Dell XPS 12 Core M7-6Y75 4GB 512GB SSD 12.5 Inch 4K Windows 10 Convertible Laptop - XPS9250-0939BLK,1372.97,512.0,4.0,12.5,3840 x 2160,Core M7,6Y75,Intel,Windows 10,,No optical drive,,
860,Lenovo ThinkPad P50 Core i7-6820HQ 16GB 512GB SSD Quadro M2000M 15.6 Inch 4K Windows 7 Professional W - 20EN0007UK,1399.97,512.0,16.0,15.6,3840 x 2160,Intel Core i7,6820HQ,Intel,Windows 7 Pro,,No optical drive,Non Touch,3 year warranty
861,Refurbished Lenovo IdeaPad 100S Intel Atom Z3735G 2GB 32GB 11.6 Inch Windows 10 Laptop in Red - A1/80R2003AUK,159.97,32.0,2.0,11.6,1366 x 768,Intel Atom,Z3735G,Intel,Windows 10,8.0,No optical drive,Non Touch,3 Month RTB Warranty
862,Refurbished ASUS Chromebook C300 Intel Celeron N2830 2GB 32 GB 13.3 Inch Chrome OS Chromebook in Blue  - a2/C300MA-RO056,159.97,32.0,2.0,13.3,,Intel Celeron,N2830,Intel,Chrome OS,,No optical drive,Non Touch,3 Month RTB Warranty
863,HP 13 G1 Core m5-6Y57 8GB 32GB 13.3 Inch Chrome OS Chormebook Laptop - X0N96EA,877.97,32.0,8.0,13.3,3200 x 1800,Core M5,M5-6Y57,Intel,Chrome OS,,None,Non Touch,1 year warranty
864,HP 13 G1 Core m5-6Y57 8GB 32GB 13.3 Inch Chrome OS Chormebook Laptop - X0N96EA,877.97,32.0,8.0,13.3,3200 x 1800,Core M5,M5-6Y57,Intel,Chrome OS,,None,Non Touch,1 year warranty
865,Dell Latitude 7204 Core i5-4300U 8GB 256GB SSD 11.6 Inch Windows 7 Professional Touchscreen Laptop - 7204-5979,2478.97,256.0,8.0,11.6,1366 x 768,Intel Core i5,4300U,Intel,Windows 7 Pro,8.0,No optical drive,Touchscreen,3 year warranty
866,Refurbished Acer Aspire 5741 Core i3-330M 3GB 320GB 15.6 Inch Windows 10 Laptop  - A2/LX.PSV02.033,279.97,320.0,3.0,15.6,,Intel Core i3,330M,Intel,Windows 10,,DVD-RW,Non Touch,3 Month RTB Warranty
867,HP 3y NextBusDayOnsite Notebook Only SVC - U7C50E,233.98,,4.0,,,,,,,,,,Extended service agreement
868,Dell LATITUDE E7440 Core i5-4310M 8GB 256GB SSD Windows 8.1 Professional Touchsreen Laptop - 7440-3118,1393.97,256.0,8.0,14.0,1920 x 1080,Intel Core i5,4310U,Intel,Windows 10,,No optical drive,Touchscreen,3 year warranty
869,Refurbished HP Stream 13-c100na Intel Celeron N3050 2GB 32GB 13.3 Inch Windows 10 Laptop - A1/L2T26EA,159.97,32.0,2.0,13.3,1366 x 768,Intel Celeron,N3050,Intel,Windows 10,,No optical drive,Non Touch,3 Month RTB Warranty
870,Refurbished HP Stream 13-C101NA Intel Celeron N3050 2GB 32GB 13.3 Inch Windows 10 Laptop in Purple  - A1/L2T28EA,169.97,32.0,2.0,13.3,1366 x 768,Intel Celeron,N3050,Intel,Windows 10,8.0,No optical drive,Non Touch,3 Month RTB Warranty
871,Dell Precision M5510 Core i7-6820HQ 8GB 500GB 15.6 Inch Windows 7 Professional Workstation Laptop - D1D0T,1777.97,500.0,8.0,15.6,3840 x 2160,Intel Core i7,6820HQ,Intel,Windows 10,,No optical drive,Non Touch,3 year warranty
872,Dell Precision M7510 Intel Xeon E3-1535M 16GB 256GB Quadro M2000M 15.6 Inch Windows 7 Professional W - D21HY,2252.98,256.0,16.0,15.6,1920 x 1080,Xeon,E3-1535M,Intel,Windows 10,12.0,No optical drive,Non Touch,3 year warranty
873,Dell Latitude E7470 Core i7-6600U 8GB 256GB SSD 14 Inch Windows 7 Professional Laptop - NFMXG,1769.98,256.0,8.0,14.0,1920 x 1080,Intel Core i7,6600U,Intel,Windows 7 Pro,12.0,No optical drive,Non Touch,3 year warranty
874,HP EliteBook 1040 G3 Core i7-6600U 8GB 256GB SSD 14 Inch Windows 7 Professional Laptop - V1A86EA,2259.97,256.0,8.0,14.0,1920 x 1080,Intel Core i7,6600U,Intel,Windows 7 Pro,9.0,No optical drive,Non Touch,3 year warranty
875,Dell Precision M3800 Core i7-4712HQ 8GB 500GB 15.6 Inch Quadro K1100M Windows 7 Professional Touchsc - HD6P4,1619.98,500.0,8.0,15.6,1920 x 1080,Intel Core i7,4712HQ,Intel,Windows 10,,No optical drive,Touchscreen,1 year warranty
876,Dell Latitude 5404 Core i5-4310U 4GB 500GB DVD-RW 14 Inch Windows 7 Professional Laptop - 5404-9248,1587.97,500.0,4.0,14.0,1366 x 768,Intel Core i5,4310U,Intel,Windows 10,12.0,DVD-RW,Non Touch,3 year warranty
877,Dell Latitude 5404 Core i5-4310U 8GB 256GB GeForce GT 720M DVD-RW 14 Inch Windows 7 Professional Lap - 5404-9255,2194.97,32.0,8.0,14.0,1366 x 768,Intel Core i5,4310U,Intel,Windows 10,12.0,DVD-RW,Non Touch,
878,Dell Latitude 5404 Core i7-4650U 8GB 256GB SSD GeForce GT 720M DVD-RW 14 Inch Windows 7 Professional Laptop - 5404-9262,2283.97,32.0,8.0,14.0,1366 x 768,Intel Core i7,4650U,Intel,Windows 10,12.0,DVD-RW,Non Touch,
879,Dell 7404 Core i5-4300U 8GB 256GB DVD-RW 14 Inch Windows 7 Professional Laptop - 7404-9224,2513.98,32.0,8.0,14.0,1366 x 768,Intel Core i5,4300U,Intel,Windows 10,,DVD-RW,Non Touch,3 year warranty
880,Dell Latitude 7404 Core i7-4650U 16GB 512GB  DVD-RW 14 Inch Windows 7 Professional Laptop - 7404-9231,3577.97,512.0,16.0,14.0,1366 x 768,Intel Core i7,4650U,Intel,Windows 10,14.0,DVD-RW,Non Touch,3 year warranty
881,Refurbished Asus C300 Intel Celeron N2830 2GB 32 GB 13.3 Inch Chrome OS Chromebook in Blue  - a1/C300MA-RO056,179.97,32.0,2.0,13.3,,Intel Celeron,N2830,Intel,Chrome OS,,No optical drive,Non Touch,3 Month RTB Warranty
882,Refurbished HP Stream 11-R000NA Celeron N3050 2GB 32GB 11.6 Inch Windows 10 Laptop in Blue - A1/N9Q66EA,149.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3050,Intel,Windows 10,9.0,No optical drive,Non Touch,3 Month RTB Warranty
883,HP EliteBook 840 G3 Core i5-6300U 2.4GHz 8GB 500GB 14 Inch Windows 10 Professional Laptop - W4Z92AW,1414.97,500.0,8.0,14.0,1920 x 1080,Intel Core i5,6300U,Intel,Windows 10 Pro,,None,Non Touch,3 year warranty
884,Refurbished Acer Aspire E1-571 Core i5-3230M 4GB 750GB 15.6 Inch Windows 8 Laptop  - A2/NX.M09EK.024,339.97,750.0,4.0,15.6,,Intel Core i5,3230M,Intel,Windows 8,,No optical drive,Non Touch,3 Month RTB Warranty
885,Dell Latitude E7270 Core i7-6600U 8GB 256GB SSD 12.5 Inch Windows 10 Professional Laptop - JXT30,1544.98,256.0,8.0,12.5,1920 x 1080,Intel Core i7,6600U,Intel,Windows 10 Pro,12.0,No optical drive,Non Touch,3 year warranty
886,Acer Chromebook R 11 C738T Intel Celeron N3060 4GB 32GB SSD 11.6 Inch Chrome OS Laptop - NX.G55EK.003,292.97,32.0,4.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Chrome OS,12.0,None,Non Touch,1 year warranty
887,Dell Precision M5510 Core i7-6820HQ 8GB 500GB 15.6 Inch Windows 10 Professional Laptop  - 51WPT,1353.97,500.0,8.0,15.6,1920 x 1080,Intel Core i7,6820HQ,Intel,Windows 10 Pro,6.0,None,Non Touch,1 year warranty
888,Toshiba Z40-C-106 Core i5-6200U 8GB 256GB SSD 14 Inch Windows 10 Professional Laptop - PT465E-03F02SEN,1144.97,256.0,8.0,14.0,1920 x 1080,Intel Core i5,6200U,Intel,Windows 10 Pro,8.5,None,Non Touch,1 year warranty
889,Toshiba Z50-C-138 Core i5-6200U 8GB 256GB SSD 15.6 Inch Windows 10 Professional Laptop  - PT571E-06302CEN,958.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,6200U,Intel,Windows 10 Pro,8.0,None,Non Touch,1 year warranty
890,Toshiba Z50-C-140 Core i7-6600U 16GB 256GB SSD DVD-RW 15.6 Inch Windows 10 Professional Laptop - PT577E-03P01FEN,1518.97,256.0,16.0,15.6,1920 x 1080,Intel Core i7,6600U,Intel,Windows 10 Pro,7.0,DVDRW (R DL) / DVD-RAM,Non Touch,
891,Dell Precision M7510 Xeon E3-1535MV5 16GB 1TB 256GB SSD 15.6 Inch Windows 7 Professional Laptop - 1THW9,1943.98,256.0,16.0,15.6,1920 x 1080,Xeon,E3-1535MV5,Intel,Windows 10,6.0,None,Non Touch,
892,Dell Precision M3510 Core i7-6700HQ 8GB 256GB SSD AMD FirePro W5130M Windows 10 Professional Worksta - 2016W,1564.97,256.0,16.0,15.6,1920 x 1080,Intel Core i7,6700HQ,Intel,Windows 10 Pro,12.0,None,Non Touch,
893,Refurbished HP Stream 11-y051sa Intel Celeron N3060 2GB 32GB 11.6 Inch Windows 10 Laptop in Purple - A1/Y3W08EA,149.97,32.0,2.0,11.6,1366 x 768,Intel Celeron,N3060,Intel,Windows 10,10.0,No optical drive,Non Touch,3 Month RTB Warranty
894,HP EliteBook 840 G3 Core i7-6500U 8GB 256GB SSD 14 Inch Windows 10 Pro Laptop - Y3B71EA,1319.98,256.0,8.0,14.0,1920 x 1080,Intel Core i7,6500U,Intel,Windows 10 Pro,,None,Non Touch,3 year warranty
895,HP ProBook 450 G4 Core i3-7100U 4GB 500GB DVD-RW Windows 10 Professional Laptop - Y8A06ET,477.97,500.0,4.0,15.6,1366 x 768,Intel Core i3,7100U,Intel,Windows 10 Pro,,DVDRW (R DL) / DVD-RAM,Non Touch,1 year warranty
896,Dell Precision M7710 Intel Xeon E3-1535M v5 16GB 256GB SSD Quadro M4000M 17.3 Inch Windows 7 Profess - 99N4R,2983.97,256.0,16.0,17.3,1920 x 1080,Xeon,E3-1535M,Intel,Windows 10,6.0,None,Non Touch,3 year warranty
897,HP EliteBook 1040 G3 Core i5-6200U 8GB 256 GB SSD 14 Inch Windows 10 Professional Laptop - Y3C10EA,1542.97,256.0,8.0,14.0,1920 x 1080,Intel Core i5,6200U,Intel,Windows 10 Pro,9.0,No optical drive,Non Touch,1 year warranty
898,"Refurbished HP Pavillion X2 10-n155sa 10.1"" Intel Atom Z8300 1.44GHz 2GB 32GB Convertible Touchscreen Windows 10 Laptop  - A2/P0H64EA",169.97,32.0,2.0,10.1,,Intel Atom,Z8300,Intel,Windows 10,,No optical drive,Touchscreen,3 Month RTB Warranty
899,Lenovo YogaBook Intel Atom Z8550 4GB 64GB 10.1 Inch Windows 10 Professional Convertible Tablet - ZA150015GB,545.97,,4.0,10.1,1920 x 1200,Atom x5,Z8550,Intel,Windows 10 Pro,,None,,
900,Dell Latitude E7470 Core i7-6600U 8GB 256GB SSD 14 Inch Windows 10 Professional Laptop - GVMDT,1494.97,256.0,8.0,14.0,1920 x 1080,Intel Core i7,6600U,Intel,Windows 10 Pro,12.0,No optical drive,Non Touch,3 year warranty
901,HP ZBook 15 G3 Mobile Workstation Core i7 6700HQ 16GB 512GB SSD 15.6 Inch Windows 7 Pro Laptop - T7V49EA,2538.97,512.0,16.0,15.6,1920 x 1080,Intel Core i7,6700HQ,Intel,Windows 7 Pro,15.0,None,Non Touch,3 year warranty
902,Dell Latitude 5580 Core i5-7200U 8GB 256GB SSD 15.6 Inch Windows 10 Professional Laptop   - TX8F9,854.98,256.0,8.0,15.6,1920 x 1080,Intel Core i5,7200u,Intel,Windows 10 Pro,6.0,No optical drive,Non Touch,1 year warranty
903,HP Elitebook x360 G2 Core i5-7200U 8GB 256GB SSD 13.3 Inch Windows 10 Professional Laptop  - Z2W63EA,1559.98,256.0,8.0,13.3,1920 x 1080,Intel Core i5,7200u,Intel,Windows 10 Pro,16.0,None,Touchscreen,3 year warranty
904,Microsoft Surface Book Core i7-6600U 16GB 512GB SSD GeForce GTX 965M 13.5 Inch Windows 10 Professional Laptop - 9EX-00002,2339.98,512.0,16.0,13.5,3000 x 2000,Intel Core i7,6600U,Intel,Windows 10 Pro,,No optical drive,,
905,Hp EliteBook x360 1030 G2 Core i5-7200U 8GB 256GB SSD 13.3 Inch Windows 10 Professional Laptop   - Z2W66EA,1692.97,256.0,8.0,13.3,1920 x 1080,Intel Core i5,I5-7200U,Intel,Windows 10 Pro,16.5,None,Touchscreen,3 year warranty
906,Lenovo ThinkPad X270 Intel Corei5-7300U 8GB 256GB SSD 12.5 Inch Windows 10 Professional Laptop - 20HN001DUK,999.97,256.0,8.0,12.5,1920 x 1080,Intel Core i5,7300u,Intel,Windows 10 Pro,13.0,No optical drive,Non Touch,3 year warranty
907,Dell Lattitude E7280 Core i7-7600U 16GB 256GB SSD 12.5 Inch Windows 10 Pro Laptop - XJ6F5,1389.97,256.0,16.0,12.5,1920 x 1080,Intel Core i7,7600U,Intel,Windows 10 Pro,12.0,No optical drive,Non Touch,3 year warranty
908,HP EliteBook x360 Core i5-7200U 256GB SSD Windows 10 Professional Laptop - Z2W62EA,799.97,256.0,4.0,13.3,1920 x 1080,Intel Core i5,7200u,Intel,Windows 10 Pro,16.0,No optical drive,Touchscreen,3 year warranty
909,HP EliteBook 1040 G3 Core i5-6200U 8GB 512GB SSD 14 Inch Windows 10 Professional Laptop - Z2U80EA,1904.98,512.0,8.0,14.0,1920 x 1080,Intel Core i5,6200U,Intel,Windows 10 Pro,11.0,None,Non Touch,1 year warranty
910,MSI WE62 7RI Core i5-7300HQ 8GB 1TB + 256GB SSD DVD-RW 15.6 Inch Quadro M1200 Windows 10 Professional Laptop - 9S7-16J572-1870,1354.97,256.0,8.0,15.6,1920 x 1080,Intel Core i5,7300HQ,Intel,Windows 10 Pro,6.0,DVD-RW,Non Touch,1 year warranty
911,Dell Alienware 15 Core i5-6300HQ 8GB 1TB GeForce GTX 1060 15.6 Inch Windows 10 Gaming Laptop  - V69HT,1462.97,1000.0,8.0,15.6,1920 x 1080,Intel Core i5,6300HQ,Intel,Windows 10,4.0,No optical drive,Non Touch,
912,Medion S3409 Core i3-7100U 4GB 256GB SSD Windows 10 13.3 Inch Laptop - 30022547,592.97,256.0,4.0,13.3,1920 x 1080,Intel Core i3,7100U,Intel,Windows 10,,No optical drive,Non Touch,1 year warranty
913,Lenovo ThinkPad X1 Core i7-7500U 8GB 256GB SSD 14 Inch Windows 10 Professional Laptop  - 20HR002BUK,1378.97,256.0,8.0,14.0,1920 x 1080,Intel Core i7,7500U,Intel,Windows 10 Pro,15.0,None,Non Touch,3 year warranty
914,Toshiba Portégé Z30-C-16L Core i7-6500U 8GB 256GB SSD 13.3 Inch Windows 10 Professional Laptop  - PT263E-0PN04MEN,1248.97,256.0,8.0,13.3,1920 x 1080,Intel Core i7,6500U,Intel,Windows 10 Pro,11.0,None,Non Touch,1 year warranty
915,Refurbished Acer CB3-131 Intel Celeron N2840 2GB 16GB 11.6 Inch Chrome OS Chromebook - A2/NX.G85EK.001,149.97,16.0,2.0,11.6,1366 x 768,Intel Celeron,N2840,Intel,Chrome OS,9.0,No optical drive,Non Touch,3 Month RTB Warranty
